,Question_Text,Question_ID,Euroskepticism_Score,clean_text,doc2vec_x,doc2vec_y
10,The strike by employees of the National Statistical Service of Greece following the continuing refusal of the relevant minister to receive workers representatives and engage in discussions with them is in its sixth week. As a result of the strike it is impossible to publish crucial statistical indicators on various sectors the economy industrial production culture health etc. including indicators concerning inflation. How long is it since Eurostat received statistics from the Greek National Statistical Service What impact is this delay - which is set to continue - having on the publication of European indicators by Eurostat,E-3512/03,0,The strike by employee of the National Statistical Service of Greece following the continuing refusal of the relevant minister to receive worker representative and engage in discussion with them is in it sixth week As a result of the strike it is impossible to publish crucial statistical indicator on various sector the economy industrial production culture health etc including indicator concerning inflation How long is it since Eurostat received statistic from the Greek National Statistical Service What impact is this delay which is set to continue having on the publication of European indicator by Eurostat,-0.23155388,-0.23155388
11,Article 56 of the EC Treaty reads 1. Within the framework of the provisions set out in this Chapter all restrictions on the movement of capital between Member States and between Member States and third countries shall be prohibited. 2. Within the framework of the provisions set out in this Chapter all restrictions on payments between Member States and between Member States and third countries shall be prohibited. Does the Commission consider that a tax on financial transactions  Tobin tax  is consistent with Article 56 of the EC Treaty,H-0024/01,0,Article of the EC Treaty read Within the framework of the provision set out in this Chapter all restriction on the movement of capital between Member States and between Member States and third country shall be prohibited Within the framework of the provision set out in this Chapter all restriction on payment between Member States and between Member States and third country shall be prohibited Does the Commission consider that a tax on financial transaction Tobin tax is consistent with Article of the EC Treaty,0.25789207,0.25789207
12,Further to the decision of the ITRE Committee in the European Parliament on 2.9.2010 to make funds available for the energy and renewables sector I would like to ask the Commission 1. When will the fund  available 2. What criteria will be applied for applicants who wish to access the fund 3. Can small project coordinators apply for funding i.e. individuals who wish to build small wind farms,E-7317/2010,0,Further to the decision of the ITRE Committee in the European Parliament on to make fund available for the energy and renewables sector I would like to ask the Commission When will the fund available What criterion will be applied for applicant who wish to access the fund Can small project coordinator apply for funding ie individual who wish to build small wind farm,-0.23362899,-0.23362899
13,In the light of the judgment of the Court of Justice of 12 November 1996 in Case C-201/94 on pharmaceutical products where  authority of a Member State possesses evidence that a proprietary plant protection product with an authorization to market in another Member State and a proprietary plant protection product for which it has already issued a marketing authorization are manufactured by the  or by its licensees and that those two products though not absolutely identical have at least been manufactured according to the same formula and using the same active ingredient and that furthermore they have the same physical and chemical effects must that authority unless considerations such as the effective protection of human life and health militate against it grant that marketing authorization to the imported plant protection product,P-2431/97,0,In the light of the judgment of the Court of Justice of November in Case C on pharmaceutical product where authority of a Member State posse evidence that a proprietary plant protection product with an authorization to market in another Member State and a proprietary plant protection product for which it ha already issued a marketing authorization are manufactured by the or by it licensee and that those two product though not absolutely identical have at least been manufactured according to the same formula and using the same active ingredient and that furthermore they have the same physical and chemical effect must that authority unless consideration such a the effective protection of human life and health militate against it grant that marketing authorization to the imported plant protection product,-0.13321799,-0.13321799
14,The Valencian Government applied in May 2016 for EGF funding for workers at the Bosal factory in Port de Sagunt Valencian Community which declared itself bankrupt two years ago with the loss of hundreds of jobs. Many of the people affected now have no  and the factorys closure has had very negative consequences for an area that had already been hit by deindustrialisation. What stage has been reached in the process of awarding these funds Is the Commission aware of the urgency of the matter Bearing in mind that the situation is serious will the Commission speed up the process so that EGF funds are made available to assist Bosal workers as soon as possible,E-006881-16,0,The Valencian Government applied in May for EGF funding for worker at the Bosal factory in Port de Sagunt Valencian Community which declared itself bankrupt two year ago with the loss of hundred of job Many of the people affected now have no and the factory closure ha had very negative consequence for an area that had already been hit by deindustrialisation What stage ha been reached in the process of awarding these fund Is the Commission aware of the urgency of the matter Bearing in mind that the situation is serious will the Commission speed up the process so that EGF fund are made available to assist Bosal worker a soon a possible,0.33526242,0.33526242
15,Some 5 100 internally displaced families in the Babille and Kubi districts woredas of the Somali region in Ethiopia are in need of urgent humanitarian assistance. According to a recent multisectoral assessment it seems that their priority needs include some 650 tonnes of food per month for the next four months as well as supplementary food items for children and pregnant and lactating mothers clean water and emergency shelter and non-food items. This new displacement is the result of a resource-based conflict that started in June/July 2015 in the East and West Hararge zones of Ethiopias Oromia region. Is the Commission considering contributing to the provision of humanitarian assistance in the context of the restrictions stipulated under Ethiopias current state of emergency limitations on movement designated red zones and restricted freedom of assemblyLegal notice,E-008195-16,0,Some internally displaced family in the Babille and Kubi district woredas of the Somali region in Ethiopia are in need of urgent humanitarian assistance According to a recent multisectoral assessment it seems that their priority need include some tonne of food per month for the next four month a well a supplementary food item for child and pregnant and lactating mother clean water and emergency shelter and nonfood item This new displacement is the result of a resourcebased conflict that started in JuneJuly in the East and West Hararge zone of Ethiopias Oromia region Is the Commission considering contributing to the provision of humanitarian assistance in the context of the restriction stipulated under Ethiopias current state of emergency limitation on movement designated red zone and restricted freedom of assemblyLegal notice,-0.22286367,-0.22286367
16, Does the Commission know how much food waste is each year being dumped in landfills  If so can the Commission please assess what the storage of food waste is costing each year  Can the Commission please provide this data both for the European Union as a whole and per country,E-009791/2011,0,Does the Commission know how much food waste is each year being dumped in landfill If so can the Commission please ass what the storage of food waste is costing each year Can the Commission please provide this data both for the European Union a a whole and per country,-0.47529116,-0.47529116
17,Directive 92/85/EEC applies only to workers as defined by each Member State. The Maltese Employment and Industrial Relations Act Chapter 452 of the Laws of Malta defines an employee as someone having a contract of service with an employer which means that consultants are not included under this definition. Can the Commission provide information on whether it is aware that under the current legislative framework there is still a category of workers consultants that do not benefit from the same conditions as other workers when  to rights such as maternity leave as they fall outside the national definition of workers,E-002501-18,0,Directive EEC applies only to worker a defined by each Member State The Maltese Employment and Industrial Relations Act Chapter of the Laws of Malta defines an employee a someone having a contract of service with an employer which mean that consultant are not included under this definition Can the Commission provide information on whether it is aware that under the current legislative framework there is still a category of worker consultant that do not benefit from the same condition a other worker when to right such a maternity leave a they fall outside the national definition of worker,-0.3235495,-0.3235495
18,Could the Council state what progress had been made under the current presidency towards more effective protection of the EUs external border and whether the problem of drug trafficking at coastal locations has been discussed at Council level,H-0278/08,0,Could the Council state what progress had been made under the current presidency towards more effective protection of the EUs external border and whether the problem of drug trafficking at coastal location ha been discussed at Council level,0.10420017,-0.48132738
19,In relation to Angola can the Commission specify which projects were funded from the EU budget in 2000 Can it indicate the total volume of aid for 2000 under all the headings relating to this country,E-0218/02,0,In relation to Angola can the Commission specify which project were funded from the EU budget in Can it indicate the total volume of aid for under all the heading relating to this country,0.3774446,0.3774446
20,With respect to the Unions least-favoured areas what will be the impact in terms of job losses and the environment of the proposal being prepared by the Commission on the abolition of aids to tobacco growing In the case of Granada what would be the  of closing the Cetarsa plant in terms of property speculation,H-0202/02,0,With respect to the Unions leastfavoured area what will be the impact in term of job loss and the environment of the proposal being prepared by the Commission on the abolition of aid to tobacco growing In the case of Granada what would be the of closing the Cetarsa plant in term of property speculation,0.1330404,0.1330404
21,1. Is the Commission aware of an agreement between Haris Silajdzi__ on behalf of the central government of the state of Bosnia-Herzegovina BiH and Milorad Dodik on behalf of the Republika Srpska RS reaching  on the longcontested future of the police force in the RS 2. Can the Commission confirm that the agreement refers to the Police Force of the Republika Srpska in BiH which will have powers solely within the borders of the RS and that accordingly on the one hand as desired by the RS the borders of the entities are fully respected and the highlycontested police districts running across borders are avoided and on the other hand as desired by the central government it is confirmed that the institutions of the RS will operate within the framework of the joint state of BiH and the human rights guaranteed within that state 3. Is the Commission aware that this  agreement still raises a number of questions both in the Federation of Bosnia-Herzegovina where there is a cantonal police service and on the part of the non-Serbian minorities living in the RS primarily because there are people serving in the RS police force who during the violent period from 1992 to 1995 displayed their loathing of these minorities or even had a hand in the terrors suffered by the residents of Srebrenica in 1995 4. Does the agreement also provide for a solution to the problem of the police officers referred to in question 3 involving for example offering them the choice  following the example of the Truth and Reconciliation Commission set up in South Africa in the wake of the horrors of the apartheid regime  of accounting for and recognising their errors or leaving the police force so that citizens of the RS will no longer have any cause to fear the deployment of police officers who do not recognise all citizens as equal 5. Will this agreement between BiH and RS on policing together with the agreement concluded at the beginning of May on the special status of the town of Srebrenica within the RS lead to a speeding up of further agreements between BiH and the EU in relation to stabilisation association development projects and preparations for future EU membership Source Nacionalni Kongres Republike BiH  Online Newsletter No 470  International issue May 22 2007.,E-2912/07,0,Is the Commission aware of an agreement between Haris Silajdzi on behalf of the central government of the state of BosniaHerzegovina BiH and Milorad Dodik on behalf of the Republika Srpska RS reaching on the longcontested future of the police force in the RS Can the Commission confirm that the agreement refers to the Police Force of the Republika Srpska in BiH which will have power solely within the border of the RS and that accordingly on the one hand a desired by the RS the border of the entity are fully respected and the highlycontested police district running across border are avoided and on the other hand a desired by the central government it is confirmed that the institution of the RS will operate within the framework of the joint state of BiH and the human right guaranteed within that state Is the Commission aware that this agreement still raise a number of question both in the Federation of BosniaHerzegovina where there is a cantonal police service and on the part of the nonSerbian minority living in the RS primarily because there are people serving in the RS police force who during the violent period from to displayed their loathing of these minority or even had a hand in the terror suffered by the resident of Srebrenica in Does the agreement also provide for a solution to the problem of the police officer referred to in question involving for example offering them the choice following the example of the Truth and Reconciliation Commission set up in South Africa in the wake of the horror of the apartheid regime of accounting for and recognising their error or leaving the police force so that citizen of the RS will no longer have any cause to fear the deployment of police officer who do not recognise all citizen a equal Will this agreement between BiH and RS on policing together with the agreement concluded at the beginning of May on the special status of the town of Srebrenica within the RS lead to a speeding up of further agreement between BiH and the EU in relation to stabilisation association development project and preparation for future EU membership Source Nacionalni Kongres Republike BiH Online Newsletter No International issue May,-0.31956747,-0.31956747
22,Directive 94/80/EC1 on the right of EU citizens to vote in local elections requires the Member States to transpose itsprovisions into national law by 31 December 1995 at the latest.  with this by means of the law adopted by the Chamber of Deputies on 7 December 1995. What is the position in the other Member States What measures does the Commission intend to take vis-Ê_-vis Member States which have not  with the Directive,E-125/96,0,Directive EC on the right of EU citizen to vote in local election requires the Member States to transpose itsprovisions into national law by December at the latest with this by mean of the law adopted by the Chamber of Deputies on December What is the position in the other Member States What measure doe the Commission intend to take vi Ê vi Member States which have not with the Directive,-0.48601404,-0.48601404
23,The Environment Directorate-General will be aware of the work of the Foundation for Environmental Education and of the fact that some of its programmes have in the past received funding from the Commission. Does the Commission agree that environmental education has an important role to play in promoting the EUs environmental agenda Assuming this to be the case which Directorate-General DG Environment or DG Education and Culture takes the lead in processing and supporting applications for appropriate environmental education projects in both Member States and the applicant countries If there is any uncertainty as to the appropriate Directorate-General in the case of a particular application who is responsible for resolving such conflict,E-2309/02,0,The Environment DirectorateGeneral will be aware of the work of the Foundation for Environmental Education and of the fact that some of it programme have in the past received funding from the Commission Does the Commission agree that environmental education ha an important role to play in promoting the EUs environmental agenda Assuming this to be the case which DirectorateGeneral DG Environment or DG Education and Culture take the lead in processing and supporting application for appropriate environmental education project in both Member States and the applicant country If there is any uncertainty a to the appropriate DirectorateGeneral in the case of a particular application who is responsible for resolving such conflict,-0.08301665,-0.08301665
24,The Hellenic Centre for Disease Control and Prevention Keelpno has announced that at least 110 people have died after contracting seasonal influenza. Keelpno say that the main reasons for the rise in the number of  to the previous year are the virulence of H1N1 influenza and the lack of suitable vaccines in Greece. 1. Is the Commission aware of these facts 2. Does it believe other EU citizens travelling to this area for work or leisure are in any danger 3. How does it plan to assist Greek citizens in tackling this emergency,E-003892-14,0,The Hellenic Centre for Disease Control and Prevention Keelpno ha announced that at least people have died after contracting seasonal influenza Keelpno say that the main reason for the rise in the number of to the previous year are the virulence of HN influenza and the lack of suitable vaccine in Greece Is the Commission aware of these fact Does it believe other EU citizen travelling to this area for work or leisure are in any danger How doe it plan to assist Greek citizen in tackling this emergency,0.36534217,0.36534217
25,On 10 June 1998 the European Commission published its Report on Osteoporosis in the European Community - Action for Prevention CE-09-97-915-EN-C. The report was warmly  by all those concerned with osteoporosis as an increasing health problem. At that time European osteoporosis organisations were promised that the eight specific  in the report would be converted into a proposal for EU action at the earliest opportunity. To date two years later there is no news of any further action by the EU. Can the Commission specify what action it proposes to take and when it will be putting forward proposals C 81 E 13/03/2001  144,E-2102/00,0,On June the European Commission published it Report on Osteoporosis in the European Community Action for Prevention CEENC The report wa warmly by all those concerned with osteoporosis a an increasing health problem At that time European osteoporosis organisation were promised that the eight specific in the report would be converted into a proposal for EU action at the earliest opportunity To date two year later there is no news of any further action by the EU Can the Commission specify what action it proposes to take and when it will be putting forward proposal C E,-0.2065175,-0.2065175
26,The Spanish Government introduced a tax amnesty scheme to help regularise capital stating that the origins of undeclared money would not be investigated. This scheme ran from 30 March to 30 November 2012 and the Spanish Finance Minister recently stated that some EUR 40 000 million had been declared. A tax amnesty of this nature involves the regularisation of capital from illegal activities about which no information is available. This means that all sorts of money from unknown sources has been awarded a premium in the form of a ridiculous 10 tax rate as opposed to the rate of almost 50 on average that ordinary people have to pay on their earnings. Despite the extremely serious allegations of corruption that have been made in connection with this amnesty the Finance Minister maintained that of the EUR 40 000 million that had been declared approximately EUR 1 193 million had been collected for the public purse. This amount would represent a 3 tax contribution on the regularised capital in contrast to the 10 the Minister mentioned in March when he launched the tax amnesty. This implies that the collection plans were false and that the defrauders had been offered other arrangements or that less money has been regularised than the government suggests. The Finance Minister maintains that the amnesty does not mean that data on defrauders is being deleted but he has given no information on how they will be investigated or what the specific legal consequences will be as regards the EUR 40 000 million in question which may include the proceeds of all kinds of  all over the world. In addition to the issues surrounding the origin of regularised capital the rate at which they have been taxed may constitute unfair   with other tax systems in the EU. Does the Commission take the view that the tax regularisation carried out by the Spanish Government could possibly be considered to constitute best practice where tax cooperation is concerned Does  with the principle of proportionality laid down as an anti-abuse measure in Commission Communication COM20070785 Does the Commission take the view that this regularisation is in line with Commission Communication COM20120722 Will the Commission be requesting information from the Spanish Government in order to ascertain its willingness  with the  mentioned above,E-000774-13,0,The Spanish Government introduced a tax amnesty scheme to help regularise capital stating that the origin of undeclared money would not be investigated This scheme ran from March to November and the Spanish Finance Minister recently stated that some EUR million had been declared A tax amnesty of this nature involves the regularisation of capital from illegal activity about which no information is available This mean that all sort of money from unknown source ha been awarded a premium in the form of a ridiculous tax rate a opposed to the rate of almost on average that ordinary people have to pay on their earnings Despite the extremely serious allegation of corruption that have been made in connection with this amnesty the Finance Minister maintained that of the EUR million that had been declared approximately EUR million had been collected for the public purse This amount would represent a tax contribution on the regularised capital in contrast to the the Minister mentioned in March when he launched the tax amnesty This implies that the collection plan were false and that the defrauder had been offered other arrangement or that le money ha been regularised than the government suggests The Finance Minister maintains that the amnesty doe not mean that data on defrauder is being deleted but he ha given no information on how they will be investigated or what the specific legal consequence will be a regard the EUR million in question which may include the proceeds of all kind of all over the world In addition to the issue surrounding the origin of regularised capital the rate at which they have been taxed may constitute unfair with other tax system in the EU Does the Commission take the view that the tax regularisation carried out by the Spanish Government could possibly be considered to constitute best practice where tax cooperation is concerned Does with the principle of proportionality laid down a an antiabuse measure in Commission Communication COM Does the Commission take the view that this regularisation is in line with Commission Communication COM Will the Commission be requesting information from the Spanish Government in order to ascertain it willingness with the mentioned above,-0.15193784,-0.15193784
27,The Santiago Year 1999 will again offer an opportunity for many Community citizens to travel to the shrine of the St. James continuing a century-old tradition which helps to strengthen the cultural roots underpinning the European spirit. The pilgrimage to Santiago de Compostela is a spiritual need felt by many citizens of our Union to help find themselves and to affirm their roots and beliefs which enable them to identify themselves with the European culture underpinning their own principles. Does the Commission think that the new Santiago Year 1999 would be a suitable opportunity for the European executive to participate in some way in the renovation of pilgrims hostels upgrading their facilities helping in this manner to improve the  infrastructure for citizens who expect a show of support from the European Union for this tradition offering a universal view of our civilization identifying it with Europe its culture its beliefs and its spirituality.,E-0120/98,0,The Santiago Year will again offer an opportunity for many Community citizen to travel to the shrine of the St James continuing a centuryold tradition which help to strengthen the cultural root underpinning the European spirit The pilgrimage to Santiago de Compostela is a spiritual need felt by many citizen of our Union to help find themselves and to affirm their root and belief which enable them to identify themselves with the European culture underpinning their own principle Does the Commission think that the new Santiago Year would be a suitable opportunity for the European executive to participate in some way in the renovation of pilgrim hostel upgrading their facility helping in this manner to improve the infrastructure for citizen who expect a show of support from the European Union for this tradition offering a universal view of our civilization identifying it with Europe it culture it belief and it spirituality,-0.13625604,-0.13625604
28,The Peljeac Bridge is a bridge supposed to be built in Croatia to connect the countrys mainland to the Dubrovnik-Neretva region. The construction of the bridge has been planned since 2007 but the work has still not__ The Council of Ministers of Bosnia and Herzegovina never gave its consent to the so-called concordance note. No authority in Bosnia and Herzegovina has given its consent to accepting or signing any document with Croatia regarding the construction of the Peljeac Bridge within its constitutional powers. The Bosnian-Herzegovinian side insists on the definition verification and acceptance of an international waterway that is a corridor that will physically merge the Bosnian-Herzegovinian sea over which Bosnia and Herzegovina has full sovereignty with the open sea in accordance with the UN Convention on the Law of the Sea with the application of a free navigation__ regime for all types of vessels and aircraft and the laying of infrastructure equipment and with Croatia realising__ connection of its terrestrial territory.,E-002651-18,0,The Pelje ac Bridge is a bridge supposed to be built in Croatia to connect the country mainland to the DubrovnikNeretva region The construction of the bridge ha been planned since but the work ha still not The Council of Ministers of Bosnia and Herzegovina never gave it consent to the socalled concordance note No authority in Bosnia and Herzegovina ha given it consent to accepting or signing any document with Croatia regarding the construction of the Pelje ac Bridge within it constitutional power The BosnianHerzegovinian side insists on the definition verification and acceptance of an international waterway that is a corridor that will physically merge the BosnianHerzegovinian sea over which Bosnia and Herzegovina ha full sovereignty with the open sea in accordance with the UN Convention on the Law of the Sea with the application of a free navigation regime for all type of vessel and aircraft and the laying of infrastructure equipment and with Croatia realising connection of it terrestrial territory,-0.31363386,-0.31363386
